,col_name,value
818,dayofweek_1,0.1349299522745391
819,dayofweek_2,0.11731650767758689
821,dayofweek_4,0.1047178240196827
817,dayofweek_0,0.08322619927433408
3,Volatility_USD_daily,0.06575043905215397
808,month_4,0.057125519740996764
802,hour,0.0534687359560385
7,Volatility_AUD_daily,0.03710124620042887
805,month_1,0.034405556956355915
1,Volatility_USD_hourly,0.02848218169179679
5,Volatility_AUD_hourly,0.02697532548671441
816,month_12,0.017630055840762555
80,TD Securities Inflation (MoM)_VOL_AUD_hourly,0.015325522308048525
800,correl_AUD_JPY_3p_h1_4,0.014127699514032536
153,TD Securities Inflation (MoM)_VOL_USD_hourly,0.0116521789430219
206,Home Loans_VOL_AUD_Daily,0.010889714017134858
804,nb_years,0.010454342843715941
373,correl_EUR_AUD_20p,0.007965014852932151
812,month_8,0.0058137273089058
173,Investment Lending for Homes_PC_AUD_Daily,0.005488121382738714
196,Building Permits (MoM)_VOL_AUD_Daily,0.0052941745427798935
263,Investment Lending for Homes_PC_USD_Daily,0.004835760938260522
798,STDEV_AUD_H1_2p_h1_4,0.003774457059543906
362,CS_AUD_GBP_H4_10,0.0035780952042170164
515,MOM_STOCH_OSCILLATOR_AUD10,0.0034737033270947726
350,CS_AUD_CAD_H4_7,0.0032473010783698932
302,National Australia Bank's Business Conditions_VOL_USD_Daily,0.002518120325478891
443,TR_TRIX_AUD16,0.0024502719205277902
773,correl_AUD_JPY_3p_h1_1,0.0023537068685882115
597,VOL_BOLLINGER_H_BANDS_AUD20,0.0023305064696987586
820,dayofweek_3,0.002319915414622581
342,PC50_AUD_H4,0.002269080487771256
357,correl_AUD_CHF_10p,0.002050828882790318
811,month_7,0.0020480556201534577
212,National Australia Bank's Business Conditions_VOL_AUD_Daily,0.001946294318894115
365,correl_AUD_GBP_20p,0.0019446663692425546
404,TR_CCI_AUD13,0.0018275419803607165
419,TR_DPO_AUD10,0.0018215187899999516
197,CFTC AUD NC net positions_VOL_AUD_Daily,0.0017774419439898327
360,CS_AUD_GBP_H4_7,0.0017639838872220502
306,New Motor Vehicle Sales (YoY)_VOL_USD_Daily,0.0017320144326860823
296,Home Loans_VOL_USD_Daily,0.001719116695794376
215,New Motor Vehicle Sales (MoM)_VOL_AUD_Daily,0.0017062653430418623
792,correl_AUD_JPY_3p_h1_2_1,0.0015958760783690476
287,CFTC AUD NC net positions_VOL_USD_Daily,0.0015325803572320384
305,New Motor Vehicle Sales (MoM)_VOL_USD_Daily,0.0014127980868690337
545,MOM_TSI_AUD,0.0013573444319520361
783,correl_AUD_CHF_3p_h1_2,0.0012720949929016338
178,New Motor Vehicle Sales (YoY)_PC_AUD_Daily,0.001215713936786324
458,TR_VI_NEG_AUD7,0.0011952001804524236
286,Building Permits (MoM)_VOL_USD_Daily,0.0011826040444959305
372,correl_EUR_AUD_10p,0.0011600964228805036
465,TR_VI_POS_AUD10,0.0011279768620667523
174,National Australia Bank's Business Conditions_PC_AUD_Daily,0.001116471846608433
801,day,0.0011047337541674716
567,VOL_ATR_AUD20,0.0010740986361666084
607,VOL_BOLLINGER_L_BANDS_AUD11,0.001064903407589354
4,PC_macro_economic_ind_USD_daily,0.0010612241154989578
375,TR_ADX_AUD3,0.0010351962091026113
368,CS_AUD_JPY_H4_20,0.0009906218084542071
223,Producer Price Index (QoQ)_VOL_AUD_Daily,0.0009612481230404516
364,CS_AUD_GBP_H4_20,0.0009612462183222968
809,month_5,0.0009538275440591356
493,MOM_RSI_AUD7,0.0009340447667009489
799,STDEV_AUD_H1_3p_h1_4,0.0008707915672725325
782,correl_AUD_JPY_3p_h1_2,0.0008659911654554527
157,Building Permits (MoM)_PC_AUD_Daily,0.0008530384349444096
488,MOM_RSI_AUD2,0.0008507419408037059
334,Westpac Leading Index (MoM)_VOL_USD_Daily,0.0008263916101453163
369,correl_AUD_JPY_20p,0.0008185833185517776
352,correl_AUD_CAD_10p,0.0008043767480292186
280,Trade Balance_PC_USD_Daily,0.0007919217391946726
439,TR_TRIX_AUD12,0.0007803584147184874
355,correl_AUD_CHF_7p,0.0007603607469457938
444,TR_TRIX_AUD17,0.0007591959658272765
175,National Australia Bank's Business Confidence_PC_AUD_Daily,0.0007584124290251328
374,TR_ADX_AUD2,0.0007498317733296545
457,TR_VI_POS_AUD6,0.0007408759073009594
807,month_3,0.000720316591234068
551,VOL_ATR_AUD4,0.0007065803450244933
779,PC2_AUD_H1_h1_2,0.0007008618238121711
524,MOM_STOCH_OSCILLATOR_AUD19,0.0006807306426340788
264,National Australia Bank's Business Conditions_PC_USD_Daily,0.000674178028927514
774,correl_AUD_CHF_3p_h1_1,0.0006597740829066925
494,MOM_RSI_AUD8,0.0006524170829211684
450,TR_VI_NEG_AUD2,0.0006359799271611042
210,Investment Lending for Homes_VOL_AUD_Daily,0.0006030390469991152
370,CS_EUR_AUD_H4_7,0.0005822690229973174
116,Westpac Leading Index (MoM)_PC_USD_hourly,0.0005767447036653883
160,Company Gross Operating Profits (QoQ)_PC_AUD_Daily,0.0005750171182088253
366,correl_AUD_JPY_7p,0.0005574977082467625
356,CS_AUD_CHF_H4_10,0.0005403093948916065
